ident;nazwisko;imie;data urodz;laureat;swiadectwo;egzamin;wolontariat;konkursy;profil
1548;Mbbacka;Tuskana;17.11.2008;0;69;88;1;12;5
1771;Dibacka;Tuskana;16.2.2008;0;64;73;2;3;1
1137;Gwbacki;Tyberiusz;16.5.2007;1;60;91;2;12;10
1394;Cpbacki;Tyberiusz;16.5.2007;0;61;75;2;0;6
1147;Odbacka;Tyburcja;25.1.2008;0;69;83;2;19;2
1281;Lgbacka;Tyburcja;25.6.2007;0;63;67;0;3;1
1657;Cebacka;Tyburcja;26.3.2007;0;62;84;1;0;2
1051;Gsbacki;Tyburcy;13.10.2007;0;72;88;0;6;4
1255;Otbacki;Tyburcy;5.7.2007;0;63;88;0;23;5
1168;Dwbacki;Tycjan;1.5.2007;0;67;88;0;18;9
1557;Ebbacki;Tycjan;20.6.2007;0;63;88;3;15;5
1084;Kkbacki;Tygriusz;6.5.2007;0;71;72;1;3;7
1461;Kcbacki;Tygriusz;28.12.2007;0;64;95;3;23;10
1594;Rmbacki;Tygriusz;30.5.2007;0;64;88;1;13;1
1905;Kkbacki;Tygriusz;30.8.2007;0;61;93;1;9;8
1398;Uabacki;Tytus;21.7.2008;1;68;91;2;3;10
1577;Hubacki;Tytus;15.8.2007;0;68;88;3;20;7
1636;Nsbacki;Ursus;29.10.2007;1;71;94;1;15;10
1734;Libacki;Ursycyn;8.3.2007;0;63;65;1;17;6
1109;Esbacki;Ursyn;10.10.2007;1;67;88;0;10;10
1616;Rjbacki;Ursyn;28.1.2007;0;71;90;2;7;5
1662;Fkbacki;Ursyn;4.2.2007;0;64;80;2;8;1
1750;Gfbacki;Ursyn;29.12.2007;0;61;75;1;15;1
1802;Ambacka;Violetta;30.1.2007;0;70;96;2;10;9
1101;Hkbacki;Walenty;26.5.2007;0;60;73;2;10;10
1193;Babacki;Walenty;1.2.2007;1;60;70;2;19;9
1676;Adbacki;Walenty;21.6.2007;0;67;85;0;18;1
1706;Atbacki;Walentyn;12.1.2007;0;61;75;1;5;6
1851;Tebacki;Walentyn;12.1.2007;0;66;93;3;5;6
1793;Kbbacka;Walentyna;17.4.2007;0;67;75;2;22;5
1875;Kbbacka;Walentyna;19.4.2007;1;60;82;1;15;1
1611;Ctbacka;Waleria;30.1.2007;0;71;95;1;12;1
1381;Urbacki;Walerian;22.4.2007;0;66;85;3;2;5
1720;Bcbacki;Walerian;7.9.2008;0;60;61;2;1;8
1460;Ccbacka;Waleriana;29.6.2007;1;64;97;3;19;6
1760;Skbacka;Waleriana;25.10.2007;1;72;75;2;3;3
1009;Ktbacki;Waleriusz;15.5.2007;0;61;73;2;4;4
1142;Gibacki;Waleriusz;19.6.2007;0;63;76;0;15;3
1483;Utbacki;Walery;10.5.2007;1;68;97;1;12;9
1700;Ambacki;Walery;23.10.2007;0;68;79;3;10;9
1839;Wgbacki;Walery;23.10.2007;0;62;93;1;18;4
1312;Cfbacki;Wenancjusz;1.1.2007;1;69;96;1;21;1
1587;Mjbacki;Wenancjusz;3.8.2007;0;61;100;0;13;4
1653;Njbacki;Wenancjusz;6.2.2007;0;69;63;1;11;10
1085;Mcbacki;Wenanty;9.7.2007;0;66;85;3;14;6
1526;Dpbacki;Wenanty;11.6.2007;0;66;64;0;19;4
1906;Mcbacki;Wenanty;25.1.2007;0;60;72;2;22;3
1014;Udbacki;Wenerand;18.4.2007;0;67;91;2;14;4
1180;Trbacka;Wera;16.2.2007;0;68;95;2;23;7
1727;Ekbacka;Wera;26.9.2007;0;62;67;1;24;10
1733;Ribacka;Wera;9.11.2007;0;64;76;0;4;6
1799;Dabacka;Wera;28.3.2008;0;66;93;1;8;2
1856;Hcbacka;Wera;26.9.2007;0;70;97;1;23;8
1119;Tgbacka;Weridiana;27.12.2007;0;62;99;0;1;3
1411;Obbacka;Weridiana;3.5.2007;0;69;88;1;16;2
1088;Ctbacki;Wigiliusz;25.7.2007;0;71;82;2;18;9
1794;Gcbacki;Wigiliusz;17.4.2007;0;60;92;1;14;2
1876;Gcbacki;Wigiliusz;17.4.2007;0;60;96;2;14;3
1909;Ctbacki;Wigiliusz;16.12.2007;0;68;73;2;22;8
1642;Fnbacki;Wiktor;15.5.2007;0;69;98;3;9;4
1282;Hjbacka;Wiktoria;17.7.2007;0;63;75;2;16;8
1294;Mtbacka;Wiktoria;14.3.2007;0;69;71;3;16;10
1319;Ecbacka;Wiktoria;28.3.2007;1;67;71;0;0;9
1395;Plbacka;Wiktoria;28.1.2008;0;68;75;1;12;1
1827;Pobacka;Wiktoria;5.4.2007;0;62;62;2;5;3
1177;Kjbacki;Wiktorian;21.9.2007;0;60;85;0;19;9
1387;Ohbacki;Wiktorian;9.7.2007;0;68;100;3;7;1
1593;Ghbacki;Wiktorian;22.11.2007;0;63;97;1;7;3
1671;Stbacka;Wiktoriana;15.8.2008;0;69;94;0;13;6
1377;Embacki;Wincenty;25.2.2007;0;65;68;0;22;10
1534;Ecbacki;Wincenty;29.3.2007;0;68;87;1;6;7
1325;Gmbacka;Wiola;11.10.2007;0;65;67;1;14;3
1330;Uabacka;Wiola;30.6.2007;0;60;86;1;13;8
1666;Hebacka;Wiola;12.2.2007;0;68;80;2;13;1
1721;Esbacka;Wiola;6.3.2008;0;63;66;1;13;9
1535;Dnbacka;Wioleta;25.1.2007;0;69;79;0;1;8
1632;Uubacka;Wioleta;31.7.2007;0;68;81;0;3;5
1691;Uhbacki;Wirgiliusz;11.6.2007;0;68;68;1;5;9
1053;Bwbacka;Wirginia;19.11.2007;0;68;98;0;16;3
1061;Ddbacka;Wirginia;6.10.2007;0;62;69;3;21;10
1217;Asbacka;Wirginia;1.1.2007;0;60;88;2;1;9
1349;Sdbacka;Wirginia;29.9.2008;0;61;60;1;10;10
1848;Flbacka;Wirginia;1.1.2008;0;68;78;0;23;8
1882;Ddbacka;Wirginia;21.2.2007;0;63;69;1;4;3
1067;Cpbacka;Wirydiana;29.12.2007;0;67;61;2;13;6
1089;Libacka;Wirydiana;5.12.2007;0;72;78;1;11;10
1092;Libacka;Wirydiana;26.10.2007;0;71;100;1;8;7
1293;Mkbacka;Wirydiana;18.3.2007;0;62;98;3;24;10
1767;Gbbacka;Wirydiana;24.9.2007;0;66;96;2;0;1
1888;Cpbacka;Wirydiana;25.9.2007;0;72;73;2;18;3
1910;Libacka;Wirydiana;22.9.2007;0;65;84;1;23;4
1913;Libacka;Wirydiana;4.1.2007;0;61;62;1;18;1
1801;Ambacka;Zofia;24.12.2007;0;62;72;2;8;3
1146;Llbacka;Zyta;31.5.2008;0;72;98;1;15;5
1194;Wdbacka;Zyta;26.11.2007;0;69;67;0;5;8
1230;Wabacka;Zyta;1.10.2007;0;62;66;3;24;2
1337;Tbbacka;Zyta;2.3.2007;0;71;91;2;3;5
1354;Ktbacka;Zyta;13.3.2007;0;65;97;1;7;2
1621;Ppbacka;Zyta;14.9.2008;0;70;94;1;7;4
1715;Wabacka;Zyta;28.12.2007;1;61;81;1;24;4
